City,Score
Aaronhaven,8.0
Adamsland,10.0
Adkinsberg,3.0
Alanport,3.0
Alexanderfort,10.0
Alexandrahaven,7.0
Alexshire,8.0
Amandaberg,2.0
Amandamouth,3.0
Amandastad,7.0
Amberburgh,9.0
Ambertown,3.0
Amyborough,3.0
Amymouth,5.0
Andersenberg,10.0
Andersenton,5.0
Andersonside,3.0
Andreamouth,11.0
Andretown,3.0
Angelaborough,10.0
Angelaport,11.0
Annetteshire,11.0
Antoniochester,6.0
Arnoldview,9.0
Audreyhaven,3.0
Bakermouth,8.0
Bakerville,9.0
Baldwinfort,1.0
Barrettmouth,1.0
Barryhaven,6.0
Benjaminfort,3.0
Billystad,12.0
Bookerton,3.0
Boyertown,9.0
Bradleyville,5.0
Brandonport,10.0
Brettview,6.0
Briannaport,11.0
Brianstad,3.0
Brookeburgh,3.0
Brooksmouth,3.0
Bryantville,4.0
Calebmouth,6.0
Calhounchester,11.0
Camposview,3.0
Cannonmouth,12.0
Carlaberg,1.0
Carrieborough,11.0
Carrollhaven,3.0
Cassandramouth,10.0
Castroside,8.0
Catherinestad,1.0
Cathyport,9.0
Chadstad,2.0
Chambersborough,8.0
Chambershaven,7.0
Chambersside,12.0
Charlesside,3.5
Chavezborough,12.0
Chenshire,9.0
Cherylton,9.0
Cherylville,11.0
Christinaland,6.0
Christinefurt,6.0
Christinemouth,10.0
Christineton,3.0
Christopherhaven,9.5
Christopherland,9.0
Christymouth,1.0
Cindytown,9.0
Colemouth,4.0
Conradton,9.0
Contrerasbury,4.0
Cooktown,5.0
Cranehaven,4.0
Crawfordfurt,10.0
Crystalville,1.0
Curtismouth,9.0
Curtisville,3.0
Danielborough,4.0
Danielhaven,1.0
Daniellehaven,6.0
Danielleville,5.5
Danielport,10.0
Danielshire,3.0
Danielsside,12.0
Danielstad,3.0
Darrellhaven,12.0
Davidbury,8.0
Davidside,11.0
Davilamouth,12.0
Davisfurt,5.0
Dawsonfurt,2.0
Deanstad,3.0
Deborahberg,11.0
Deborahmouth,7.0
Deleonview,7.0
Delgadochester,7.0
Deniseview,5.0
Dennisland,11.0
Derrickside,6.0
Destinyhaven,6.0
Donaldville,12.0
Donnafort,8.0
Donnamouth,8.0
Donnaville,12.0
Dorseyberg,8.0
Duncanstad,12.0
East Aaron,10.0
East Alexanderfort,7.0
East Alexaport,12.0
East Allison,3.0
East Amber,8.0
East Beckychester,10.0
East Bradleyborough,11.0
East Brianna,11.0
East Cameronland,3.0
East Carolside,11.0
East Christinetown,8.0
East Cindystad,7.0
East Corey,11.0
East Courtneyborough,6.0
East Danielstad,8.0
East Davidfort,11.0
East Dorisstad,4.0
East Dustinfort,12.0
East Edwardchester,8.0
East Emily,5.0
East Gabrielshire,8.0
East Harryland,9.0
East Jacqueline,1.0
East James,8.0
East Jamie,3.0
East Jamieshire,12.0
East Johnbury,2.0
East Josephton,2.0
East Joshua,9.0
East Joy,12.0
East Judy,8.0
East Justin,12.0
East Kristi,7.0
East Kyliefort,5.0
East Larry,3.0
East Laurafort,6.0
East Leroy,9.0
East Mark,2.0
East Martin,6.5
East Matthew,1.0
East Melindafurt,8.0
East Melissaside,5.0
East Michael,8.0
East Michaelton,9.0
East Miguel,10.0
East Mikestad,7.0
East Mistyland,2.0
East Nancy,3.0
East Nicole,7.0
East Nicolefurt,2.0
East Norman,6.0
East Paula,3.0
East Paulside,11.0
East Randyport,4.0
East Richardtown,12.0
East Rickyland,5.0
East Robertport,11.0
East Robertshire,1.0
East Ronald,11.0
East Ruth,11.0
East Sheriton,5.0
East Sonia,6.0
East Tanyatown,6.0
East Terrenceside,1.0
East Tonya,10.0
East Valerie,9.0
East Wendy,1.0
East Zacharystad,6.0
Eatonview,8.0
Edwardberg,2.0
Edwardfort,5.0
Edwardsfurt,2.0
Elliottberg,8.0
Ellishaven,2.0
Ellisview,1.0
Emilychester,8.0
Ericburgh,2.0
Farrellmouth,12.0
Feliciabury,3.0
Fischerfurt,9.0
Fisherview,10.0
Fitzgeraldshire,3.0
Floresside,10.0
Florestown,7.0
Flowersfurt,6.0
Foleyton,12.0
Francisborough,7.0
Francisstad,5.0
Francostad,1.0
Fryeside,8.0
Gabrielport,12.0
Garciaborough,3.0
Garciahaven,1.0
Garcialand,2.0
Garciaview,6.0
Garyfort,2.0
Garymouth,9.0
Garytown,11.0
Georgeburgh,12.0
Georgebury,6.0
Gilbertchester,11.0
Gillport,3.0
Gloverbury,7.0
Gomezfort,8.0
Gonzalesburgh,12.0
Gonzalezfurt,11.0
Grantfort,4.0
Greenberg,9.5
Greeneburgh,10.0
Greenshire,6.0
Gregorytown,3.0
Griffinmouth,12.0
Guzmanland,4.0
Hallborough,1.0
Hannahfort,5.0
Hannahfurt,8.0
Hardybury,9.0
Harmonchester,10.0
Harrisshire,11.0
Hayesberg,1.0
Hayeshaven,2.0
Haynesberg,12.0
Heatherstad,5.0
Heathfort,10.0
Hendricksland,9.0
Henrystad,11.0
Hensonmouth,6.0
Hernandeztown,6.0
Hessfurt,10.0
Hicksshire,7.0
Hillchester,3.0
Hillville,3.0
Hollychester,1.0
Hooverside,4.0
Howardberg,10.0
Howardfort,6.0
Huangport,10.0
Huntport,7.0
Jacksonfurt,12.0
Jacksonville,12.0
Jacobsonland,10.0
Jacobston,10.0
Jaimeshire,1.0
Jamesbury,7.0
Jamestown,8.0
Janiceton,11.0
Jasonmouth,5.0
Jasonshire,9.0
Jeanneton,12.0
Jeffreybury,1.0
Jeffreyfurt,1.0
Jeffreymouth,11.0
Jeffreyport,8.0
Jeffreystad,10.0
Jenkinsmouth,1.0
Jennaburgh,12.0
Jenniferstad,5.0
Jennifertown,12.0
Jesseburgh,5.0
Jessicafort,11.0
Jillton,11.0
Jimenezside,2.0
Joelport,5.0
Johnland,9.0
Johnsonberg,3.5
Johnsonfort,7.0
Johnsonton,3.0
Joneshaven,8.0
Jonestown,6.0
Jonland,5.0
Josephborough,7.5
Josephbury,12.0
Josephstad,12.0
Joshuabury,2.0
Joshuachester,3.0
Joshuamouth,9.0
Joymouth,11.0
Juanchester,2.0
Juanfurt,10.0
Juanville,11.0
Judithshire,2.0
Juliaberg,1.0
Julieburgh,11.0
Juliefurt,7.0
Kathleenchester,2.0
Kathleentown,10.0
Kathrynfort,3.0
Kaylaborough,8.0
Keithborough,11.0
Keithstad,5.0
Kellyhaven,6.0
Kellyland,10.0
Kellyport,9.0
Kellystad,3.0
Kelseyton,11.0
Kevinland,10.0
Khanfurt,10.0
Kimberlyhaven,8.0
Kimberlyport,11.0
Kimberlytown,4.0
Kimside,2.0
Kimstad,11.0
Knightland,10.0
Kristenfurt,2.0
Kristinbury,4.0
Kristinhaven,1.0
Kristyville,12.0
Kruegerchester,1.0
Lake Alyssamouth,2.0
Lake Amberfort,1.0
Lake Barry,7.0
Lake Benjaminside,9.0
Lake Brandon,9.0
Lake Brianfurt,7.0
Lake Brianville,7.0
Lake Brittanyside,7.0
Lake Carrie,5.0
Lake Christine,8.0
Lake Christopher,9.0
Lake Christopherborough,9.0
Lake Cody,2.0
Lake Edgar,9.0
Lake Ericshire,6.0
Lake Erik,1.0
Lake Erika,3.0
Lake Ginastad,8.0
Lake Jacquelineborough,5.0
Lake Jenniferborough,2.0
Lake Jessica,10.0
Lake Joan,11.0
Lake Johntown,9.0
Lake Josephstad,7.0
Lake Justin,12.0
Lake Katrina,1.0
Lake Kennethburgh,9.0
Lake Lancemouth,6.0
Lake Lauren,3.0
Lake Lisaberg,5.0
Lake Lori,2.0
Lake Lorishire,5.0
Lake Mariaview,12.0
Lake Matthew,5.0
Lake Matthewfort,9.0
Lake Melissa,11.0
Lake Michael,9.0
Lake Michaelland,9.0
Lake Mitchell,10.0
Lake Nathan,10.0
Lake Nicole,8.0
Lake Patrickport,2.0
Lake Paul,1.0
Lake Rachel,7.0
Lake Randyton,8.0
Lake Russellton,11.0
Lake Sandra,7.0
Lake Sandraton,5.0
Lake Sara,7.0
Lake Sarah,11.0
Lake Seanville,9.0
Lake Shelby,7.0
Lake Steven,1.0
Lake Stevenmouth,11.0
Lake Tammyfort,11.0
